gs	c	1
ff	o	1
cb	a	1
dh	o	2
bb	l	1
xq	u	1
hg	r	1
vb	r	1
bp	e	1
tb	i	1
tb	e	1
gc	i	6
zv	q	1
zv	i	2
zv	e	2
vl	a	1
vl	o	10
vl	i	1
cv	a	2
cv	e	3
cv	i	2
pq	u	1
bv	o	1
dp	u	1
dp	o	3
uh	o	1
uh	u	1
uh	a	1
hn	a	1
hn	e	1
hn	o	2
sx	a	1
cd	e	1
cd	o	2
cd	i	3
dc	r	1
dc	o	5
dc	i	4
pb	l	4
pf	i	1
pf	a	1
rx	e	1
zg	i	1
zg	r	1
zg	a	1
ur	b	2
ur	j	1
ur	u	1
ur	r	1
ur	s	6
ur	p	5
ur	f	2
ur	n	6
ur	g	8
ur	o	350
ur	d	8
ur	e	97
ur	c	7
ur	a	271
ur	m	6
ur	i	39
ur	t	7
ur	q	3
ur	v	10
rs	f	2
rs	j	1
rs	h	1
rs	g	1
rs	v	1
rs	i	22
rs	q	8
rs	d	16
rs	c	4
rs	s	15
rs	p	14
rs	e	165
rs	u	22
rs	o	50
rs	a	36
rs	m	4
rs	b	1
rs	r	6
rs	t	14
rs	n	8
eh	m	1
eh	a	15
eh	o	40
eh	d	3
eh	i	6
eh	t	1
eh	u	24
eh	e	11
eh	b	1
eh	r	1
eh	c	1
rq	u	314
vd	e	4
vd	o	4
xi	m	1
xi	o	1
sc	v	1
sc	t	2
sc	s	3
sc	u	121
sc	e	107
sc	i	60
sc	r	61
sc	o	410
sc	a	261
sc	l	24
sc	f	1
sc	n	2
sc	h	19
tj	d	1
vj	a	1
lb	a	1
lb	o	1
lb	e	5
lb	u	4
lb	i	5
lb	r	2
ua	h	1
ua	v	21
ua	p	13
ua	i	31
ua	q	12
ua	f	12
ua	e	26
ua	g	3
ua	l	146
ua	a	17
ua	n	224
ua	z	1
ua	c	17
ua	s	132
ua	r	52
ua	m	13
ua	t	16
ua	o	19
ua	d	26
ec	m	1
ec	p	3
ec	c	1
ec	d	1
ec	n	2
ec	r	79
ec	o	410
ec	e	349
ec	a	148
ec	l	20
ec	i	129
ec	t	5
ec	s	4
ec	h	60
ec	u	39
np	i	1
